papercode,bookname,chapter,quizefile,displayfield
PC21,Acct. Code for AG,Chapter 01,pointers_pc21_ac4ag_ch01,Acct. Code for AG: Chapter 01
PC21,Acct. Code for AG,Chapter 02,pointers_pc21_ac4ag_ch02,Acct. Code for AG: Chapter 02
PC21,Acct. Code for AG,Chapter 03,pointers_pc21_ac4ag_ch03,Acct. Code for AG: Chapter 03
PC21,Acct. Code for AG,Chapter 04,pointers_pc21_ac4ag_ch04,Acct. Code for AG: Chapter 04
PC21,Acct. Code for AG,Chapter 05,pointers_pc21_ac4ag_ch05,Acct. Code for AG: Chapter 05
PC21,Acct. Code for AG,Chapter 06,pointers_pc21_ac4ag_ch06,Acct. Code for AG: Chapter 06
PC21,Acct. Code for AG,Chapter 07,pointers_pc21_ac4ag_ch07,Acct. Code for AG: Chapter 07
PC21,Acct. Code for AG,Chapter 08,pointers_pc21_ac4ag_ch08,Acct. Code for AG: Chapter 08
PC21,Acct. Code for AG,Chapter 09,pointers_pc21_ac4ag_ch09,Acct. Code for AG: Chapter 09
PC21,Acct. Code for AG,Chapter 10,pointers_pc21_ac4ag_ch10,Acct. Code for AG: Chapter 10
PC21,Acct. Rules for Try.,Chapter 02,pointers_pc21_acct_rules_try_ch02,Acct. Rules for Try.: Chapter 02
PC21,Acct. Rules for Try.,Chapter 03,pointers_pc21_acct_rules_try_ch03,Acct. Rules for Try.: Chapter 03
PC21,Acct. Rules for Try.,Chapter 04,pointers_pc21_acct_rules_try_ch04,Acct. Rules for Try.: Chapter 04
PC21,Acct. Rules for Try.,Chapter 05,pointers_pc21_acct_rules_try_ch05,Acct. Rules for Try.: Chapter 05
PC21,Acct. Code III,Chapter 01,pointers_pc21_ac_v3_ch01,Acct. Code III: Chapter 01
PC21,Acct. Code III,Chapter 02,pointers_pc21_ac_v3_ch02,Acct. Code III: Chapter 02
PC21,Acct. Code III,Ch. 03 Sec. 01,pointers_pc21_ac_v3_ch03sc01,Acct. Code III: Ch. 03 Sec. 01
PC21,Acct. Code III,Ch. 03 Sec. 02,pointers_pc21_ac_v3_ch03sc02,Acct. Code III: Ch. 03 Sec. 02
PC21,Acct. Code III,Ch. 03 Sec. 03,pointers_pc21_ac_v3_ch03sc03,Acct. Code III: Ch. 03 Sec. 03
PC21,Acct. Code III,Ch. 03 Sec. 04,pointers_pc21_ac_v3_ch03sc04,Acct. Code III: Ch. 03 Sec. 04
PC21,Acct. Code III,Ch. 03 Sec. 05,pointers_pc21_ac_v3_ch03sc05,Acct. Code III: Ch. 03 Sec. 05
PC21,Acct. Code III,Ch. 03 Sec. 06,pointers_pc21_ac_v3_ch03sc06,Acct. Code III: Ch. 03 Sec. 06
PC21,Acct. Code III,Ch. 03 Sec. 07,pointers_pc21_ac_v3_ch03sc07,Acct. Code III: Ch. 03 Sec. 07
PC21,Acct. Code III,Ch. 03 Sec. 08,pointers_pc21_ac_v3_ch03sc08,Acct. Code III: Ch. 03 Sec. 08
PC21,Acct. Code III,Ch. 03 Sec. 09,pointers_pc21_ac_v3_ch03sc09,Acct. Code III: Ch. 03 Sec. 09
PC21,Acct. Code III,Ch. 03 Sec. 10,pointers_pc21_ac_v3_ch03sc10,Acct. Code III: Ch. 03 Sec. 10
PC21,Acct. Code III,Chapter 04,pointers_pc21_ac_v3_ch04,Acct. Code III: Chapter 04
PC21,CAM,Chapter 01,pointers_pc21_cam_ch01,CAM: Chapter 01
PC21,CAM,Chapter 04,pointers_pc21_cam_ch04,CAM: Chapter 04
PC21,CAM,Chapter 05,pointers_pc21_cam_ch05,CAM: Chapter 05
PC21,CAM,Chapter 07,pointers_pc21_cam_ch07,CAM: Chapter 07
PC21,CAM,Chapter 08,pointers_pc21_cam_ch08,CAM: Chapter 08
PC21,CAM,Chapter 10,pointers_pc21_cam_ch10,CAM: Chapter 10
PC21,CAM,Chapter 16,pointers_pc21_cam_ch16,CAM: Chapter 16
PC21,CAM,Chapter 17,pointers_pc21_cam_ch17,CAM: Chapter 17
PC21,MSO(AE)-I,Chapter 05,pointers_pc21_mso_ae_v1_ch05,MSO(AE)-I: Chapter 05
PC21,MSO(AE)-I,Chapter 06,pointers_pc21_mso_ae_v1_ch06,MSO(AE)-I: Chapter 06
PC21,MSO(AE)-I,Chapter 10,pointers_pc21_mso_ae_v1_ch10,MSO(AE)-I: Chapter 10
PC21,MSO(AE)-I,Chapter 11,pointers_pc21_mso_ae_v1_ch11,MSO(AE)-I: Chapter 11
PC21,MSO(AE)-I,Chapter 12,pointers_pc21_mso_ae_v1_ch12,MSO(AE)-I: Chapter 12
