papercode,bookname,chapter,quizefile,displayfield
PC16,CPWA Code,Chapter 02,pc16_cpwa_ch02,CPWA Code: Chapter 02
PC16,CPWA Code,Chapter 03,pc16_cpwa_ch03,CPWA Code: Chapter 03
PC16,CPWA Code,Chapter 04,pc16_cpwa_ch04,CPWA Code: Chapter 04
PC16,CPWA Code,Chapter 05,pc16_cpwa_ch05,CPWA Code: Chapter 05
PC16,CPWA Code,Chapter 06,pc16_cpwa_ch06,CPWA Code: Chapter 06
PC16,CPWA Code,Chapter 07,pc16_cpwa_ch07,CPWA Code: Chapter 07
PC16,CPWA Code,Chapter 08,pc16_cpwa_ch08,CPWA Code: Chapter 08
PC16,CPWA Code,Chapter 09,pc16_cpwa_ch09,CPWA Code: Chapter 09
PC16,CPWA Code,Chapter 10,pc16_cpwa_ch10,CPWA Code: Chapter 10
PC16,CPWA Code,Chapter 11,pc16_cpwa_ch11,CPWA Code: Chapter 11
PC16,CPWA Code,Chapter 12,pc16_cpwa_ch12,CPWA Code: Chapter 12
PC16,CPWA Code,Chapter 13,pc16_cpwa_ch13,CPWA Code: Chapter 13
PC16,CPWA Code,Chapter 13 to 21,pc16_cpwa_ch13to21,CPWA Code: Chapter 13 to 21
PC16,CPWA Code,Chapter 22,pc16_cpwa_ch22,CPWA Code: Chapter 22
PC16,CPWA Code,Appendix 02,pc16_cpwa_apd02,CPWA Code: Appendix 02
PC16,CPWA Code,Appendix 03,pc16_cpwa_apd03,CPWA Code: Appendix 03
PC16,CPWA Code,Appendix 04,pc16_cpwa_apd04,CPWA Code: Appendix 04
PC16,CPWA Code,Appendix 06,pc16_cpwa_apd06,CPWA Code: Appendix 06
PC16,CPWA Code,Appendix 07,pc16_cpwa_apd07,CPWA Code: Appendix 07
PC16,CPWA Code,Appendix 07C,pc16_cpwa_apd07c,CPWA Code: Appendix 07C
PC16,Acct Code III,Forest Accts,pc16_acct_code3_forest_accts,Acct Code III: Forest Accts
PC16,MSO A&E V1,Chapter 08 & 09,pc16_mso_ae01_ch0809,MSO A&E V1: Chapter 08 & 09
