papercode,bookname,chapter,quizefile,displayfield
PC08,CAM,All,fillers_pc08_cam_all,CAM: All
PC08,DFPR 1978,All,fillers_pc08_dfpr1978_all,DFPR 1978: All
PC08,GAR 1990,All,fillers_pc08_gar1990_all,GAR 1990: All
PC08,GFR 2017,All,fillers_pc08_gfr2017_all,GFR 2017: All
PC08,MSO A&E V2,All,fillers_pc08_msoae2_all,MSO A&E V2: All
PC08,R&P 1983,All,fillers_pc08_rp1983_all,R&P 1983: All
